CPU Load: 57.07% | Memory Usage: 29.91% | CPU Temperature: 61.25 °C
CPU Load: 46.30% | Memory Usage: 30.12% | CPU Temperature: 57.22 °C
CPU Load: 60.67% | Memory Usage: 30.17% | CPU Temperature: 56.66 °C
CPU Load: 38.64% | Memory Usage: 30.12% | CPU Temperature: 53.33 °C
CPU Load: 32.94% | Memory Usage: 30.12% | CPU Temperature: 52.22 °C
CPU Load: 12.92% | Memory Usage: 30.12% | CPU Temperature: 51.11 °C
CPU Load: 36.97% | Memory Usage: 30.17% | CPU Temperature: 52.77 °C
CPU Load: 57.43% | Memory Usage: 30.27% | CPU Temperature: 55.00 °C
CPU Load: 53.70% | Memory Usage: 30.07% | CPU Temperature: 55.55 °C
CPU Load: 52.45% | Memory Usage: 30.12% | CPU Temperature: 55.55 °C
CPU Load: 51.52% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 54.62% | Memory Usage: 30.12% | CPU Temperature: 56.11 °C
CPU Load: 40.58% | Memory Usage: 30.12% | CPU Temperature: 56.11 °C
CPU Load: 50.84% | Memory Usage: 30.07% | CPU Temperature: 56.66 °C
CPU Load: 50.33% | Memory Usage: 30.12% | CPU Temperature: 56.66 °C
CPU Load: 40.54% | Memory Usage: 30.12% | CPU Temperature: 53.88 °C
CPU Load: 46.63% | Memory Usage: 30.07% | CPU Temperature: 53.88 °C
CPU Load: 53.47% | Memory Usage: 30.12% | CPU Temperature: 55.55 °C
CPU Load: 56.97% | Memory Usage: 30.12% | CPU Temperature: 54.44 °C
CPU Load: 21.92% | Memory Usage: 30.07% | CPU Temperature: 53.88 °C
CPU Load: 25.63% | Memory Usage: 30.12% | CPU Temperature: 53.88 °C
CPU Load: 17.54% | Memory Usage: 27.01% | CPU Temperature: 51.11 °C
CPU Load: 26.14% | Memory Usage: 30.12% | CPU Temperature: 53.88 °C
CPU Load: 37.58% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 53.86% | Memory Usage: 30.12% | CPU Temperature: 56.11 °C
CPU Load: 49.16% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 44.01% | Memory Usage: 30.02% | CPU Temperature: 54.44 °C
CPU Load: 60.10% | Memory Usage: 30.12% | CPU Temperature: 56.11 °C
CPU Load: 48.99% | Memory Usage: 30.12% | CPU Temperature: 55.55 °C
CPU Load: 52.02% | Memory Usage: 30.12% | CPU Temperature: 55.55 °C
CPU Load: 41.92% | Memory Usage: 30.12% | CPU Temperature: 54.44 °C
CPU Load: 55.61% | Memory Usage: 30.12% | CPU Temperature: 56.11 °C
CPU Load: 44.28% | Memory Usage: 30.07% | CPU Temperature: 55.00 °C
CPU Load: 53.51% | Memory Usage: 30.12% | CPU Temperature: 57.22 °C
CPU Load: 41.46% | Memory Usage: 30.12% | CPU Temperature: 55.55 °C
CPU Load: 51.94% | Memory Usage: 30.12% | CPU Temperature: 53.88 °C
CPU Load: 19.87% | Memory Usage: 30.07% | CPU Temperature: 52.77 °C
CPU Load: 30.30% | Memory Usage: 28.82% | CPU Temperature: 53.88 °C
CPU Load: 48.32% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 53.79% | Memory Usage: 30.12% | CPU Temperature: 54.44 °C
CPU Load: 53.29% | Memory Usage: 30.12% | CPU Temperature: 54.44 °C
CPU Load: 49.33% | Memory Usage: 30.12% | CPU Temperature: 56.11 °C
CPU Load: 44.78% | Memory Usage: 30.12% | CPU Temperature: 55.55 °C
CPU Load: 54.05% | Memory Usage: 30.12% | CPU Temperature: 53.88 °C
CPU Load: 48.74% | Memory Usage: 30.12% | CPU Temperature: 53.88 °C
CPU Load: 43.29% | Memory Usage: 30.17% | CPU Temperature: 53.33 °C
CPU Load: 42.76% | Memory Usage: 30.12% | CPU Temperature: 54.44 °C
CPU Load: 64.60% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 45.21% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 68.19% | Memory Usage: 30.12% | CPU Temperature: 56.11 °C
CPU Load: 41.32% | Memory Usage: 30.12% | CPU Temperature: 53.88 °C
CPU Load: 34.57% | Memory Usage: 30.12% | CPU Temperature: 53.88 °C
CPU Load: 13.13% | Memory Usage: 30.17% | CPU Temperature: 51.11 °C
CPU Load: 34.29% | Memory Usage: 30.17% | CPU Temperature: 52.77 °C
CPU Load: 48.57% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 50.17% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 56.38% | Memory Usage: 30.17% | CPU Temperature: 54.44 °C
CPU Load: 47.06% | Memory Usage: 30.07% | CPU Temperature: 55.00 °C
CPU Load: 54.04% | Memory Usage: 30.12% | CPU Temperature: 55.55 °C
CPU Load: 42.13% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 49.50% | Memory Usage: 30.17% | CPU Temperature: 54.44 °C
CPU Load: 49.66% | Memory Usage: 30.07% | CPU Temperature: 55.55 °C
CPU Load: 42.16% | Memory Usage: 30.12% | CPU Temperature: 53.88 °C
CPU Load: 61.85% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 52.52% | Memory Usage: 30.07% | CPU Temperature: 55.55 °C
CPU Load: 56.59% | Memory Usage: 30.17% | CPU Temperature: 55.55 °C
CPU Load: 23.87% | Memory Usage: 30.12% | CPU Temperature: 52.22 °C
CPU Load: 23.10% | Memory Usage: 30.17% | CPU Temperature: 52.77 °C
CPU Load: 11.39% | Memory Usage: 30.12% | CPU Temperature: 50.55 °C
CPU Load: 24.58% | Memory Usage: 30.12% | CPU Temperature: 51.66 °C
CPU Load: 41.01% | Memory Usage: 30.07% | CPU Temperature: 53.88 °C
CPU Load: 51.17% | Memory Usage: 30.12% | CPU Temperature: 55.55 °C
CPU Load: 49.41% | Memory Usage: 30.12% | CPU Temperature: 52.77 °C
CPU Load: 43.58% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 59.40% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 42.02% | Memory Usage: 30.07% | CPU Temperature: 55.55 °C
CPU Load: 54.96% | Memory Usage: 30.17% | CPU Temperature: 55.55 °C
CPU Load: 60.77% | Memory Usage: 30.17% | CPU Temperature: 54.44 °C
CPU Load: 48.07% | Memory Usage: 30.43% | CPU Temperature: 56.11 °C
CPU Load: 41.11% | Memory Usage: 30.48% | CPU Temperature: 54.44 °C
CPU Load: 54.30% | Memory Usage: 30.12% | CPU Temperature: 55.55 °C
CPU Load: 37.12% | Memory Usage: 30.12% | CPU Temperature: 55.55 °C
CPU Load: 39.29% | Memory Usage: 30.12% | CPU Temperature: 55.55 °C
CPU Load: 22.69% | Memory Usage: 30.17% | CPU Temperature: 51.66 °C
CPU Load: 18.01% | Memory Usage: 26.91% | CPU Temperature: 54.44 °C
CPU Load: 42.71% | Memory Usage: 30.27% | CPU Temperature: 53.33 °C
CPU Load: 66.89% | Memory Usage: 30.43% | CPU Temperature: 55.55 °C
CPU Load: 47.46% | Memory Usage: 30.38% | CPU Temperature: 55.55 °C
CPU Load: 48.65% | Memory Usage: 30.43% | CPU Temperature: 55.00 °C
CPU Load: 44.46% | Memory Usage: 30.43% | CPU Temperature: 53.88 °C
CPU Load: 63.58% | Memory Usage: 30.43% | CPU Temperature: 55.00 °C
CPU Load: 58.10% | Memory Usage: 30.43% | CPU Temperature: 54.44 °C
CPU Load: 41.25% | Memory Usage: 30.38% | CPU Temperature: 55.55 °C
CPU Load: 41.78% | Memory Usage: 30.38% | CPU Temperature: 54.44 °C
CPU Load: 60.50% | Memory Usage: 30.43% | CPU Temperature: 55.00 °C
CPU Load: 41.82% | Memory Usage: 30.43% | CPU Temperature: 53.33 °C
CPU Load: 57.21% | Memory Usage: 30.43% | CPU Temperature: 56.11 °C
CPU Load: 39.43% | Memory Usage: 30.48% | CPU Temperature: 55.00 °C
CPU Load: 40.54% | Memory Usage: 30.43% | CPU Temperature: 53.33 °C
CPU Load: 14.31% | Memory Usage: 30.43% | CPU Temperature: 51.66 °C
CPU Load: 39.53% | Memory Usage: 30.22% | CPU Temperature: 52.22 °C
CPU Load: 56.23% | Memory Usage: 30.38% | CPU Temperature: 54.44 °C
CPU Load: 55.37% | Memory Usage: 30.43% | CPU Temperature: 53.33 °C
CPU Load: 55.22% | Memory Usage: 30.43% | CPU Temperature: 54.44 °C
CPU Load: 51.85% | Memory Usage: 30.43% | CPU Temperature: 55.00 °C
CPU Load: 50.42% | Memory Usage: 30.43% | CPU Temperature: 55.00 °C
CPU Load: 44.35% | Memory Usage: 30.33% | CPU Temperature: 54.44 °C
CPU Load: 48.22% | Memory Usage: 30.33% | CPU Temperature: 57.22 °C
CPU Load: 43.38% | Memory Usage: 30.38% | CPU Temperature: 56.66 °C
CPU Load: 44.39% | Memory Usage: 30.38% | CPU Temperature: 54.44 °C
CPU Load: 81.11% | Memory Usage: 19.44% | CPU Temperature: 54.44 °C
CPU Load: 31.76% | Memory Usage: 20.32% | CPU Temperature: 51.66 °C
CPU Load: 10.47% | Memory Usage: 19.96% | CPU Temperature: 48.75 °C
CPU Load: 0.00% | Memory Usage: 20.01% | CPU Temperature: 47.50 °C
CPU Load: 8.44% | Memory Usage: 20.01% | CPU Temperature: 48.12 °C
CPU Load: 12.80% | Memory Usage: 19.85% | CPU Temperature: 48.12 °C
CPU Load: 12.55% | Memory Usage: 19.91% | CPU Temperature: 48.12 °C
CPU Load: 1.55% | Memory Usage: 19.96% | CPU Temperature: 46.87 °C
CPU Load: 7.34% | Memory Usage: 20.48% | CPU Temperature: 49.37 °C
CPU Load: 3.05% | Memory Usage: 20.37% | CPU Temperature: 47.50 °C
CPU Load: 0.50% | Memory Usage: 20.37% | CPU Temperature: 46.25 °C
CPU Load: 12.44% | Memory Usage: 20.84% | CPU Temperature: 48.75 °C
CPU Load: 26.18% | Memory Usage: 27.63% | CPU Temperature: 50.00 °C
CPU Load: 35.64% | Memory Usage: 28.20% | CPU Temperature: 49.37 °C
CPU Load: 60.78% | Memory Usage: 28.30% | CPU Temperature: 53.88 °C
CPU Load: 63.64% | Memory Usage: 28.46% | CPU Temperature: 53.88 °C
CPU Load: 61.98% | Memory Usage: 28.46% | CPU Temperature: 53.88 °C
CPU Load: 44.86% | Memory Usage: 28.46% | CPU Temperature: 53.33 °C
CPU Load: 63.29% | Memory Usage: 28.51% | CPU Temperature: 56.11 °C
CPU Load: 57.45% | Memory Usage: 28.46% | CPU Temperature: 55.55 °C
CPU Load: 66.08% | Memory Usage: 28.46% | CPU Temperature: 57.22 °C
CPU Load: 47.11% | Memory Usage: 28.51% | CPU Temperature: 55.00 °C
CPU Load: 51.19% | Memory Usage: 28.56% | CPU Temperature: 56.11 °C
CPU Load: 57.30% | Memory Usage: 28.56% | CPU Temperature: 57.77 °C
CPU Load: 62.39% | Memory Usage: 28.46% | CPU Temperature: 58.33 °C
CPU Load: 61.00% | Memory Usage: 28.51% | CPU Temperature: 58.33 °C
CPU Load: 39.73% | Memory Usage: 28.51% | CPU Temperature: 56.11 °C
CPU Load: 48.89% | Memory Usage: 28.62% | CPU Temperature: 57.22 °C
CPU Load: 26.22% | Memory Usage: 28.67% | CPU Temperature: 54.44 °C
CPU Load: 42.07% | Memory Usage: 28.62% | CPU Temperature: 57.22 °C
CPU Load: 42.49% | Memory Usage: 29.08% | CPU Temperature: 54.44 °C
CPU Load: 47.28% | Memory Usage: 29.19% | CPU Temperature: 55.55 °C
CPU Load: 56.41% | Memory Usage: 29.34% | CPU Temperature: 57.77 °C
CPU Load: 64.75% | Memory Usage: 29.34% | CPU Temperature: 58.88 °C
CPU Load: 59.72% | Memory Usage: 29.39% | CPU Temperature: 58.88 °C
CPU Load: 49.74% | Memory Usage: 29.39% | CPU Temperature: 56.66 °C
CPU Load: 40.48% | Memory Usage: 29.45% | CPU Temperature: 57.22 °C
CPU Load: 67.14% | Memory Usage: 29.45% | CPU Temperature: 58.88 °C
CPU Load: 61.99% | Memory Usage: 29.39% | CPU Temperature: 59.44 °C
CPU Load: 64.60% | Memory Usage: 29.70% | CPU Temperature: 58.88 °C
CPU Load: 42.28% | Memory Usage: 29.45% | CPU Temperature: 58.33 °C
CPU Load: 57.93% | Memory Usage: 29.45% | CPU Temperature: 58.88 °C
CPU Load: 58.14% | Memory Usage: 29.39% | CPU Temperature: 60.00 °C
CPU Load: 47.81% | Memory Usage: 29.45% | CPU Temperature: 61.25 °C
CPU Load: 42.78% | Memory Usage: 29.45% | CPU Temperature: 58.88 °C
CPU Load: 13.46% | Memory Usage: 29.50% | CPU Temperature: 55.00 °C
CPU Load: 50.36% | Memory Usage: 29.60% | CPU Temperature: 57.77 °C
CPU Load: 55.62% | Memory Usage: 29.70% | CPU Temperature: 58.33 °C
CPU Load: 57.09% | Memory Usage: 29.76% | CPU Temperature: 58.33 °C
CPU Load: 47.36% | Memory Usage: 29.70% | CPU Temperature: 58.33 °C
CPU Load: 65.55% | Memory Usage: 29.70% | CPU Temperature: 59.44 °C
CPU Load: 62.41% | Memory Usage: 29.76% | CPU Temperature: 60.00 °C
CPU Load: 61.62% | Memory Usage: 29.70% | CPU Temperature: 60.00 °C
CPU Load: 50.94% | Memory Usage: 29.86% | CPU Temperature: 58.88 °C
CPU Load: 49.57% | Memory Usage: 29.70% | CPU Temperature: 58.88 °C
CPU Load: 65.08% | Memory Usage: 29.70% | CPU Temperature: 60.62 °C
CPU Load: 61.73% | Memory Usage: 29.65% | CPU Temperature: 61.25 °C
CPU Load: 52.91% | Memory Usage: 29.70% | CPU Temperature: 59.44 °C
CPU Load: 48.89% | Memory Usage: 29.70% | CPU Temperature: 58.88 °C
CPU Load: 39.43% | Memory Usage: 29.70% | CPU Temperature: 58.88 °C
CPU Load: 35.25% | Memory Usage: 29.70% | CPU Temperature: 56.66 °C
CPU Load: 31.76% | Memory Usage: 29.81% | CPU Temperature: 57.22 °C
CPU Load: 17.65% | Memory Usage: 29.81% | CPU Temperature: 55.55 °C
CPU Load: 38.68% | Memory Usage: 29.81% | CPU Temperature: 55.00 °C
CPU Load: 41.65% | Memory Usage: 29.91% | CPU Temperature: 55.55 °C
CPU Load: 49.16% | Memory Usage: 29.91% | CPU Temperature: 57.77 °C
CPU Load: 42.59% | Memory Usage: 29.96% | CPU Temperature: 57.22 °C
CPU Load: 56.21% | Memory Usage: 29.91% | CPU Temperature: 58.88 °C
CPU Load: 45.30% | Memory Usage: 29.96% | CPU Temperature: 56.66 °C
CPU Load: 44.35% | Memory Usage: 29.91% | CPU Temperature: 57.77 °C
CPU Load: 43.96% | Memory Usage: 29.96% | CPU Temperature: 58.33 °C
CPU Load: 46.40% | Memory Usage: 29.91% | CPU Temperature: 56.11 °C
CPU Load: 47.72% | Memory Usage: 29.91% | CPU Temperature: 57.77 °C
CPU Load: 43.62% | Memory Usage: 29.91% | CPU Temperature: 56.11 °C
CPU Load: 47.55% | Memory Usage: 29.91% | CPU Temperature: 57.77 °C
CPU Load: 44.20% | Memory Usage: 29.91% | CPU Temperature: 56.11 °C
CPU Load: 38.01% | Memory Usage: 29.91% | CPU Temperature: 56.11 °C
CPU Load: 28.24% | Memory Usage: 29.96% | CPU Temperature: 55.55 °C
CPU Load: 32.77% | Memory Usage: 29.91% | CPU Temperature: 54.44 °C
CPU Load: 21.89% | Memory Usage: 29.96% | CPU Temperature: 55.00 °C
CPU Load: 31.48% | Memory Usage: 29.96% | CPU Temperature: 56.11 °C
CPU Load: 60.27% | Memory Usage: 30.07% | CPU Temperature: 58.33 °C
CPU Load: 47.30% | Memory Usage: 30.12% | CPU Temperature: 57.22 °C
CPU Load: 49.83% | Memory Usage: 30.12% | CPU Temperature: 56.11 °C
CPU Load: 46.30% | Memory Usage: 30.12% | CPU Temperature: 57.77 °C
CPU Load: 46.22% | Memory Usage: 30.12% | CPU Temperature: 57.22 °C
CPU Load: 38.49% | Memory Usage: 30.12% | CPU Temperature: 56.66 °C
CPU Load: 45.74% | Memory Usage: 30.07% | CPU Temperature: 57.22 °C
CPU Load: 47.99% | Memory Usage: 30.12% | CPU Temperature: 57.77 °C
CPU Load: 45.13% | Memory Usage: 30.07% | CPU Temperature: 59.44 °C
CPU Load: 44.09% | Memory Usage: 30.07% | CPU Temperature: 57.22 °C
CPU Load: 50.42% | Memory Usage: 30.07% | CPU Temperature: 57.77 °C
CPU Load: 42.33% | Memory Usage: 30.17% | CPU Temperature: 57.22 °C
CPU Load: 41.82% | Memory Usage: 30.12% | CPU Temperature: 56.66 °C
CPU Load: 31.53% | Memory Usage: 30.17% | CPU Temperature: 56.66 °C
CPU Load: 48.05% | Memory Usage: 30.17% | CPU Temperature: 56.66 °C
CPU Load: 24.49% | Memory Usage: 30.12% | CPU Temperature: 54.44 °C
CPU Load: 16.02% | Memory Usage: 26.85% | CPU Temperature: 55.00 °C
CPU Load: 42.59% | Memory Usage: 30.12% | CPU Temperature: 55.55 °C
CPU Load: 36.49% | Memory Usage: 30.22% | CPU Temperature: 56.11 °C
CPU Load: 48.32% | Memory Usage: 30.17% | CPU Temperature: 57.22 °C
CPU Load: 44.76% | Memory Usage: 30.17% | CPU Temperature: 56.66 °C
CPU Load: 41.40% | Memory Usage: 30.17% | CPU Temperature: 57.77 °C
CPU Load: 41.65% | Memory Usage: 30.17% | CPU Temperature: 57.22 °C
CPU Load: 44.95% | Memory Usage: 30.17% | CPU Temperature: 58.33 °C
CPU Load: 44.80% | Memory Usage: 30.17% | CPU Temperature: 57.22 °C
CPU Load: 42.59% | Memory Usage: 30.17% | CPU Temperature: 56.66 °C
CPU Load: 42.57% | Memory Usage: 30.17% | CPU Temperature: 57.77 °C
CPU Load: 53.11% | Memory Usage: 30.17% | CPU Temperature: 56.66 °C
CPU Load: 52.71% | Memory Usage: 30.17% | CPU Temperature: 57.77 °C
CPU Load: 48.74% | Memory Usage: 30.17% | CPU Temperature: 57.77 °C
CPU Load: 42.23% | Memory Usage: 30.17% | CPU Temperature: 56.66 °C
CPU Load: 42.18% | Memory Usage: 30.17% | CPU Temperature: 55.55 °C
CPU Load: 37.39% | Memory Usage: 30.12% | CPU Temperature: 55.00 °C
CPU Load: 11.78% | Memory Usage: 30.22% | CPU Temperature: 53.33 °C
CPU Load: 26.80% | Memory Usage: 30.33% | CPU Temperature: 57.22 °C
CPU Load: 32.21% | Memory Usage: 30.38% | CPU Temperature: 56.66 °C
CPU Load: 44.46% | Memory Usage: 30.38% | CPU Temperature: 56.11 °C
CPU Load: 43.96% | Memory Usage: 30.33% | CPU Temperature: 56.66 °C
CPU Load: 43.53% | Memory Usage: 30.38% | CPU Temperature: 56.11 °C
CPU Load: 43.29% | Memory Usage: 30.27% | CPU Temperature: 56.66 °C
CPU Load: 52.28% | Memory Usage: 30.38% | CPU Temperature: 57.77 °C
CPU Load: 41.81% | Memory Usage: 30.38% | CPU Temperature: 57.77 °C
CPU Load: 54.48% | Memory Usage: 30.33% | CPU Temperature: 57.77 °C
CPU Load: 39.73% | Memory Usage: 30.38% | CPU Temperature: 56.11 °C
CPU Load: 50.00% | Memory Usage: 30.38% | CPU Temperature: 58.33 °C
CPU Load: 40.95% | Memory Usage: 30.27% | CPU Temperature: 57.77 °C
CPU Load: 48.49% | Memory Usage: 30.27% | CPU Temperature: 57.77 °C
CPU Load: 44.18% | Memory Usage: 30.33% | CPU Temperature: 58.33 °C
CPU Load: 38.47% | Memory Usage: 30.38% | CPU Temperature: 57.77 °C
CPU Load: 41.82% | Memory Usage: 30.33% | CPU Temperature: 56.66 °C
CPU Load: 14.26% | Memory Usage: 30.33% | CPU Temperature: 53.33 °C
CPU Load: 34.40% | Memory Usage: 30.38% | CPU Temperature: 55.00 °C
CPU Load: 40.03% | Memory Usage: 30.38% | CPU Temperature: 55.55 °C
CPU Load: 45.56% | Memory Usage: 30.38% | CPU Temperature: 55.00 °C
CPU Load: 43.34% | Memory Usage: 30.33% | CPU Temperature: 56.66 °C
CPU Load: 48.83% | Memory Usage: 30.33% | CPU Temperature: 58.88 °C
CPU Load: 52.60% | Memory Usage: 30.38% | CPU Temperature: 57.22 °C
CPU Load: 49.41% | Memory Usage: 30.33% | CPU Temperature: 57.22 °C
CPU Load: 38.32% | Memory Usage: 30.27% | CPU Temperature: 56.11 °C
CPU Load: 48.65% | Memory Usage: 30.33% | CPU Temperature: 57.22 °C
CPU Load: 47.82% | Memory Usage: 30.33% | CPU Temperature: 57.77 °C
CPU Load: 42.42% | Memory Usage: 30.27% | CPU Temperature: 57.22 °C
CPU Load: 44.30% | Memory Usage: 30.33% | CPU Temperature: 57.22 °C
CPU Load: 44.37% | Memory Usage: 30.27% | CPU Temperature: 57.77 °C
CPU Load: 36.30% | Memory Usage: 30.38% | CPU Temperature: 57.22 °C
CPU Load: 34.12% | Memory Usage: 30.33% | CPU Temperature: 56.11 °C
CPU Load: 32.26% | Memory Usage: 30.33% | CPU Temperature: 56.11 °C
CPU Load: 16.64% | Memory Usage: 30.33% | CPU Temperature: 53.88 °C
CPU Load: 35.40% | Memory Usage: 30.33% | CPU Temperature: 55.55 °C
CPU Load: 46.54% | Memory Usage: 30.33% | CPU Temperature: 55.55 °C
CPU Load: 47.46% | Memory Usage: 30.33% | CPU Temperature: 56.66 °C
CPU Load: 46.37% | Memory Usage: 30.38% | CPU Temperature: 55.55 °C
CPU Load: 46.08% | Memory Usage: 30.38% | CPU Temperature: 57.77 °C
CPU Load: 45.36% | Memory Usage: 30.27% | CPU Temperature: 57.77 °C
CPU Load: 41.53% | Memory Usage: 30.38% | CPU Temperature: 56.66 °C
CPU Load: 44.28% | Memory Usage: 30.38% | CPU Temperature: 58.33 °C
CPU Load: 47.80% | Memory Usage: 30.38% | CPU Temperature: 56.11 °C
CPU Load: 51.85% | Memory Usage: 30.48% | CPU Temperature: 58.33 °C
CPU Load: 54.56% | Memory Usage: 30.69% | CPU Temperature: 56.66 °C
CPU Load: 48.65% | Memory Usage: 30.69% | CPU Temperature: 57.77 °C
CPU Load: 45.55% | Memory Usage: 30.74% | CPU Temperature: 57.77 °C
CPU Load: 39.16% | Memory Usage: 30.69% | CPU Temperature: 55.00 °C
CPU Load: 31.43% | Memory Usage: 30.90% | CPU Temperature: 55.00 °C
CPU Load: 30.92% | Memory Usage: 30.90% | CPU Temperature: 56.11 °C
CPU Load: 26.06% | Memory Usage: 30.64% | CPU Temperature: 55.55 °C
CPU Load: 30.74% | Memory Usage: 30.53% | CPU Temperature: 55.55 °C
CPU Load: 49.58% | Memory Usage: 30.69% | CPU Temperature: 57.77 °C
CPU Load: 42.64% | Memory Usage: 30.64% | CPU Temperature: 56.66 °C
CPU Load: 47.47% | Memory Usage: 30.69% | CPU Temperature: 56.11 °C
CPU Load: 49.07% | Memory Usage: 30.69% | CPU Temperature: 57.22 °C
CPU Load: 46.22% | Memory Usage: 30.64% | CPU Temperature: 56.66 °C
CPU Load: 39.06% | Memory Usage: 30.69% | CPU Temperature: 56.11 °C
CPU Load: 44.35% | Memory Usage: 30.69% | CPU Temperature: 56.66 °C
CPU Load: 46.53% | Memory Usage: 30.69% | CPU Temperature: 57.77 °C
CPU Load: 47.39% | Memory Usage: 30.69% | CPU Temperature: 57.77 °C
CPU Load: 47.39% | Memory Usage: 30.69% | CPU Temperature: 56.66 °C
CPU Load: 50.42% | Memory Usage: 30.64% | CPU Temperature: 57.22 °C
CPU Load: 47.07% | Memory Usage: 30.69% | CPU Temperature: 58.33 °C
CPU Load: 40.64% | Memory Usage: 30.64% | CPU Temperature: 56.66 °C
CPU Load: 30.02% | Memory Usage: 30.64% | CPU Temperature: 55.55 °C
CPU Load: 38.58% | Memory Usage: 30.74% | CPU Temperature: 56.66 °C
CPU Load: 23.53% | Memory Usage: 30.69% | CPU Temperature: 55.55 °C
CPU Load: 15.85% | Memory Usage: 27.22% | CPU Temperature: 55.00 °C
CPU Load: 42.18% | Memory Usage: 30.64% | CPU Temperature: 56.66 °C
CPU Load: 34.63% | Memory Usage: 30.74% | CPU Temperature: 55.55 °C
CPU Load: 47.31% | Memory Usage: 30.69% | CPU Temperature: 57.22 °C
CPU Load: 44.44% | Memory Usage: 30.69% | CPU Temperature: 57.77 °C
CPU Load: 43.46% | Memory Usage: 30.64% | CPU Temperature: 57.22 °C
CPU Load: 39.22% | Memory Usage: 30.69% | CPU Temperature: 56.66 °C
CPU Load: 58.29% | Memory Usage: 30.90% | CPU Temperature: 56.11 °C
CPU Load: 56.93% | Memory Usage: 30.90% | CPU Temperature: 57.22 °C
CPU Load: 56.25% | Memory Usage: 30.84% | CPU Temperature: 56.66 °C
CPU Load: 55.54% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
CPU Load: 62.61% | Memory Usage: 30.90% | CPU Temperature: 60.00 °C
CPU Load: 50.68% | Memory Usage: 30.90% | CPU Temperature: 57.77 °C
CPU Load: 56.95% | Memory Usage: 30.90% | CPU Temperature: 57.77 °C
CPU Load: 51.35% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
CPU Load: 55.07% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
CPU Load: 49.83% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
CPU Load: 28.11% | Memory Usage: 27.48% | CPU Temperature: 54.44 °C
CPU Load: 45.07% | Memory Usage: 30.90% | CPU Temperature: 55.55 °C
CPU Load: 48.32% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
CPU Load: 54.68% | Memory Usage: 30.90% | CPU Temperature: 57.77 °C
CPU Load: 47.98% | Memory Usage: 30.74% | CPU Temperature: 55.55 °C
CPU Load: 46.28% | Memory Usage: 30.69% | CPU Temperature: 56.66 °C
CPU Load: 44.15% | Memory Usage: 30.69% | CPU Temperature: 57.77 °C
CPU Load: 57.21% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
CPU Load: 45.27% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
CPU Load: 46.54% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
CPU Load: 39.63% | Memory Usage: 30.90% | CPU Temperature: 57.22 °C
CPU Load: 53.20% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
CPU Load: 39.63% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
CPU Load: 45.96% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
CPU Load: 45.61% | Memory Usage: 30.95% | CPU Temperature: 57.77 °C
CPU Load: 36.82% | Memory Usage: 31.00% | CPU Temperature: 59.44 °C
CPU Load: 44.89% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
CPU Load: 14.72% | Memory Usage: 30.95% | CPU Temperature: 54.44 °C
CPU Load: 26.43% | Memory Usage: 30.95% | CPU Temperature: 53.88 °C
CPU Load: 40.70% | Memory Usage: 31.00% | CPU Temperature: 56.11 °C
CPU Load: 47.23% | Memory Usage: 31.00% | CPU Temperature: 57.77 °C
CPU Load: 42.59% | Memory Usage: 31.00% | CPU Temperature: 56.66 °C
CPU Load: 51.86% | Memory Usage: 31.00% | CPU Temperature: 57.77 °C
CPU Load: 44.69% | Memory Usage: 30.95% | CPU Temperature: 57.77 °C
CPU Load: 47.97% | Memory Usage: 31.00% | CPU Temperature: 57.77 °C
CPU Load: 44.03% | Memory Usage: 30.95% | CPU Temperature: 58.33 °C
CPU Load: 50.42% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
CPU Load: 49.75% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
CPU Load: 43.19% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
CPU Load: 49.92% | Memory Usage: 31.00% | CPU Temperature: 58.33 °C
CPU Load: 45.65% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
